tema_id,tema,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,num_subtemas
0,Servicios e Infraestructura Pública,15.46,0.0197,Alta,Polaridad positiva,Alta,15.43,0.146822,0.059661,0.270082,3
1,Seguridad y Criminalidad,27.13,-0.0463,Alta,Polaridad negativa,Alta,42.82,0.305683,0.036998,0.344885,4
2,Medio Ambiente y Servicios de Agua,7.45,-0.0526,Alta,Polaridad negativa,Baja,10.66,0.101444,0.008021,0.1152,3
3,Obra Pública e Inversión,7.8,0.0253,Alta,Polaridad positiva,Alta,8.93,0.255055,0.075045,0.313231,1
4,Educación y Cultura,8.46,0.0017,Alta,Polaridad positiva,Alta,11.9,0.169885,0.049537,0.374474,2
6,Gobernanza y Administración Pública,14.73,-0.0433,Alta,Polaridad negativa,Alta,10.26,0.292902,0.031953,0.463652,1
