doc_id,documento,tema_id,tema,palabras_clave
14660,dinero asco de policias de la cdmx ya escucho presidenta de donde son fuera todos asi debe de ser sacar las ratas del pais mandenlo con el anaranjado era extorsion,-1,No clasificado,
14661,lo que estaba haciendo con el ciudadano necesitan ser localizados y procesados que video tan vergonzoso ratas corriendo q asco le quieren ofrecer una mordida sola una mujer hizo que,6,Corrupcion,mordida
14662,policias salieran corriendo policia cagon jajaja desafortunadamente tienen muy mala fama que asco lo que sucede en mexico tienen fama de ser extorsionistas no se conoce por un viaje sin,1,Seguridad,policia
14663,dificultades que barbaro no que ya en mexico es diferente panchitada historica son vien mensos porque no le grabo la cara y se asen ya mar reporteros que tontos puro,-1,No clasificado,
14664,delincuente uniformado no son como ratas son rateros y es carcel y sobran razones porque estan para cuidar y estan robando es mas grabe por ser policias robando deporten los,1,Seguridad,delincuente
14665,a todos esos oficiales a antarctica esto debe de verse por todos los mexicanos que vergenza de policias por algo le decimos ratas y generalizamos porque son mas los malos,-1,No clasificado,
14666,que los buenos cochinero de pais y claro si no circula es corralon a un que sea extranjero a que cuando fueron a duvay no respetaron las leyes de ese,-1,No clasificado,
14667,pais y porque en mexico se las quieren sal tar en colombia aqui esto es normal y ojala ke en mexico pongan fin o si no los policias corruptos se,5,Morena (-),corruptos
14668,conviertiran igual ke los colombianos de corruptos ami me golpearon en autobus los federales me robaron mi efectivo que traia y me metieron a un cuarto el y me decian,5,Morena (-),corruptos
14669,que traia droga la verdad me duele mucho lo que me hicieron dan lastima los elementos que se dan de alta para robar en mexico d cien polis son ratas,-1,No clasificado,
14670,como todos los politicos de morena son rateros ahora los policias tambien estamos viviendo en un pais de narcopoliticos que trump se los lleve a la carcel y los policias,5,Morena (-),rateros
14671,tambien a esta reportera le deben dar un premio por arriesgar su vida les salieron patitas a los estorcionadores ja ja ja eso ustedes les ensenaron a todos esos rateros,5,Morena (-),rateros
14672,y delincuentes policias ratas y coyones y ustedes tan limpios y puros y quien jodidos no se pone a correr si de extorsionadores se trata tv azteca extorciono a gobierno,1,Seguridad,delincuentes
14673,de puebla y pues al poli no le gusta la competencia ustedes de tv azteca y el tio richie son extorsionadores tambien si corrupcion y no pagan impuestos tambien ai,5,Morena (-),corrupcion
