palabra,frecuencia
corrupcion,966
corruptos,758
policia,699
delincuentes,231
transito,219
rateros,194
seguridad,149
corrupto,145
ladrones,132
calle,93
obra,80
corrupta,77
delincuencia,73
delincuente,70
extorsionar,67
guardia,66
rehabilitacion,58
4t,57
agua,56
obras,56
calles,55
mordida,51
basura,50
cartel,50
robo,48
transformacion,45
fuga,42
luz,35
sheinbaum,34
corruptas,33
banqueta,32
crimen,30
vialidad,30
amlo,26
complices,26
patrullas,25
banquetas,25
ladron,23
criminal,23
mochada,23
coludidos,22
construccion,21
lopez,21
patrulla,20
obrador,20
limpieza,19
proteccion,19
peligro,19
vial,19
esquina,19
vialidades,19
camino,18
proyecto,17
moche,17
limpia,16
avenida,16
robos,14
movimiento,14
recoleccion,12
infraestructura,12
circulacion,11
mugrena,11
dictadura,11
luces,10
concreto,10
puente,10
desarrollo,10
cuarta,10
narcomorena,10
mentirosos,10
limpiar,9
secuestro,9
complicidad,9
vigilancia,8
detenido,8
