palabra,frecuencia
rateros,118
corruptos,108
seguridad,88
delincuentes,77
corrupcion,64
policia,61
corrupta,60
robo,57
ladrones,54
calles,47
basura,41
calle,32
ladron,26
obras,25
guardia,24
sheinbaum,23
transformacion,22
delincuencia,21
agua,20
desarrollo,20
delincuente,16
obra,16
tranza,15
peligro,14
proyecto,14
proyectos,14
ampliacion,12
infraestructura,12
morenistas,12
fraude,12
corrupto,12
luz,11
detenido,11
camino,11
carretera,11
construccion,11
lopez,11
cuarta,11
cartel,11
vigilancia,10
proteccion,10
bolsas,8
inseguridad,8
avenida,8
puente,8
rehabilitacion,8
movimiento,8
obrador,8
narcogobierno,8
crimen,7
baches,7
circulacion,7
amlo,7
traidores,7
hidraulica,6
inundaciones,6
limpia,6
avenidas,6
esquina,6
vendidos,6
morenarcos,6
extorsionar,6
electrico,5
tirar,5
limpiar,5
narcomorena,5
corruptas,5
bolsa,4
fuga,4
tubos,4
sed,4
robos,4
patrulla,4
vialidades,4
transito,4
