palabra,frecuencia
delincuentes,467
corruptos,260
corrupcion,168
seguridad,141
calles,129
vendidos,126
sheinbaum,104
agua,100
amlo,84
policia,80
calle,80
basura,73
movimiento,68
traidores,62
delincuencia,56
obrador,55
corrupto,52
puente,50
delincuente,48
obra,48
obras,48
rateros,47
lopez,45
luz,44
transformacion,43
inseguridad,41
alarma,38
robo,37
crimen,36
narcogobierno,36
guardia,35
cartel,35
peligro,34
transito,34
fraude,32
infraestructura,30
mantenimiento,26
drenaje,25
ladrones,24
proteccion,23
cuarta,23
peligroso,22
desarrollo,22
morenarcos,22
baches,21
vialidades,20
rehabilitacion,20
proyecto,19
mentirosos,19
inundaciones,18
camino,18
corrupta,18
criminal,17
robos,17
dictadura,17
secuestro,16
complices,16
tirar,15
aguas,14
sucio,13
banquetas,13
avenidas,13
construccion,13
morenistas,13
comprados,13
limpiar,12
corte,12
vigilancia,12
avenida,12
proyectos,12
narcomorena,12
oapas,11
bolsa,11
esquina,11
suministro,10
