palabra,frecuencia
delincuentes,186
calle,151
peligro,139
crimen,133
seguridad,121
corrupcion,110
corruptos,90
policia,72
basura,69
transformacion,56
calles,55
delincuencia,50
edificio,49
agua,43
guardia,43
corrupto,42
delincuente,38
luz,37
criminal,34
inseguridad,29
proteccion,27
obra,27
lopez,24
camino,23
desarrollo,22
peligroso,21
esquina,20
mantenimiento,18
construccion,17
rehabilitacion,17
sheinbaum,17
rateros,17
complices,17
inundaciones,16
transito,16
carretera,16
obras,16
narcomorena,16
robo,15
detenido,15
tirar,14
vigilancia,14
secuestro,14
infraestructura,14
limpieza,13
amlo,13
cartel,13
corrupta,13
corte,12
avenida,12
proyecto,12
patrulla,11
vialidad,11
banqueta,11
obrador,11
coludidos,11
complice,11
ladrones,10
vialidades,10
hoyo,10
puente,10
movimiento,10
bolsas,9
vial,9
cuarta,9
corruptas,9
complicidad,9
oapas,8
fuga,8
robos,8
narcogobierno,8
kk,8
luminarias,7
iluminacion,7
circulacion,7
