palabra,frecuencia
policia,3744
corruptos,2948
corrupcion,2798
seguridad,1817
delincuentes,1556
calle,1187
guardia,1030
transformacion,916
basura,871
agua,838
calles,795
corrupto,746
rateros,649
obra,632
cartel,631
obras,622
lopez,579
sheinbaum,566
robo,529
amlo,504
ladrones,498
transito,484
delincuente,482
delincuencia,406
rehabilitacion,395
obrador,350
crimen,342
proyecto,340
peligro,337
corrupta,319
puente,314
mantenimiento,287
camino,277
limpieza,275
proteccion,275
desarrollo,269
infraestructura,264
avenida,252
construccion,251
luz,248
edificio,244
criminal,223
traidores,199
complices,198
detenido,192
fuga,186
patrulla,185
cuarta,185
inseguridad,181
banquetas,176
movimiento,174
vial,163
vigilancia,162
fraude,162
4t,154
vialidades,153
complice,152
luminarias,151
baches,151
extorsionar,148
concreto,147
chayotero,141
banqueta,138
vialidad,137
proyectos,132
narcogobierno,132
peligroso,130
mordida,125
patrullas,124
morenarcos,121
oapas,120
corruptas,118
ladron,116
carretera,115
esquina,114
