tema_id,tema,nivel_alerta,direccion,impacto_en_polaridad,confianza,contribucion_pct,num_subtemas,motivo
0,Servicios e Infraestructura Pública,Oportunidad,Polaridad positiva,Alta,Alta,16.11,3,Dirección Polaridad positiva; impacto Alta; contribución 16.11% (3 subtemas).
1,Seguridad y Criminalidad,Alta,Polaridad negativa,Alta,Alta,37.81,4,Dirección Polaridad negativa; impacto Alta; contribución 37.81% (4 subtemas).
2,Medio Ambiente y Servicios de Agua,Alta,Polaridad negativa,Alta,Media,12.87,3,Dirección Polaridad negativa; impacto Alta; contribución 12.87% (3 subtemas).
3,Obra Pública e Inversión,Oportunidad,Polaridad positiva,Alta,Alta,9.92,1,Dirección Polaridad positiva; impacto Alta; contribución 9.92% (1 subtemas).
4,Educación y Cultura,Oportunidad,Polaridad positiva,Alta,Alta,14.77,2,Dirección Polaridad positiva; impacto Alta; contribución 14.77% (2 subtemas).
6,Gobernanza y Administración Pública,Alta,Polaridad negativa,Alta,Alta,8.52,1,Dirección Polaridad negativa; impacto Alta; contribución 8.52% (1 subtemas).
