palabra,frecuencia
corrupcion,510
corruptos,324
policia,280
delincuentes,164
seguridad,125
transito,113
transformacion,94
lopez,83
sheinbaum,69
agua,65
corrupto,65
calle,62
rateros,57
calles,55
guardia,51
delincuencia,50
amlo,45
basura,43
cuarta,42
obrador,41
mordida,40
cartel,36
proyecto,34
crimen,33
obra,31
rehabilitacion,27
movimiento,26
robo,25
patrulla,25
desarrollo,25
obras,25
morenarcos,25
avenida,24
inseguridad,23
extorsionar,23
limpieza,22
cruce,22
semaforo,22
ladrones,20
baches,20
puente,20
morenistas,20
narcogobierno,19
luminarias,18
camino,18
corrupta,17
patrullas,16
delincuente,16
luz,15
vialidad,15
circulacion,15
infraestructura,15
chayote,15
proteccion,14
peligro,14
banquetas,14
esquina,14
carretera,14
traidores,14
vendidos,14
coludidos,14
corte,13
robos,13
criminal,13
complices,13
detenido,12
vigilancia,12
construccion,12
proyectos,12
narcomorena,12
potable,11
vialidades,11
vial,11
mantenimiento,11
tirar,10
