tema_id,tema,nivel_alerta,direccion,impacto_en_polaridad,confianza,contribucion_pct,num_subtemas,motivo
0,Servicios e Infraestructura Pública,Alta,Polaridad negativa,Alta,Alta,22.62,3,Dirección Polaridad negativa; impacto Alta; contribución 22.62% (3 subtemas).
1,Seguridad y Criminalidad,Alta,Polaridad negativa,Alta,Alta,33.17,4,Dirección Polaridad negativa; impacto Alta; contribución 33.17% (4 subtemas).
2,Medio Ambiente y Servicios de Agua,Alta,Polaridad negativa,Alta,Baja,12.09,3,Dirección Polaridad negativa; impacto Alta; contribución 12.09% (3 subtemas).
3,Obra Pública e Inversión,Oportunidad,Polaridad positiva,Alta,Alta,8.62,1,Dirección Polaridad positiva; impacto Alta; contribución 8.62% (1 subtemas).
4,Educación y Cultura,Oportunidad,Polaridad positiva,Alta,Alta,16.98,2,Dirección Polaridad positiva; impacto Alta; contribución 16.98% (2 subtemas).
6,Gobernanza y Administración Pública,Alta,Polaridad negativa,Alta,Alta,6.52,1,Dirección Polaridad negativa; impacto Alta; contribución 6.52% (1 subtemas).
