palabra,frecuencia
corruptos,546
corrupcion,434
cartel,354
guardia,311
delincuentes,270
seguridad,253
calle,196
corrupto,151
transformacion,144
basura,133
calles,131
lopez,130
policia,118
sheinbaum,111
amlo,107
obrador,97
peligro,83
crimen,77
delincuencia,76
criminal,68
rateros,63
delincuente,62
mordida,49
agua,48
cuarta,46
limpieza,44
robo,43
proteccion,43
obra,42
corrupta,42
morenistas,41
morenarcos,39
luz,36
ladrones,36
camino,36
transito,35
traidores,35
puente,34
banquetas,34
adan,34
detenido,33
obras,33
luminarias,32
desarrollo,32
proyectos,31
movimiento,31
narcogobierno,30
avenida,29
corruptas,28
complices,27
inseguridad,24
fuga,22
4t,22
limpiar,21
mugrena,21
norona,21
infraestructura,20
vigilancia,18
rehabilitacion,18
proyecto,18
narcomorena,18
chayotero,18
peligroso,17
banqueta,17
edificio,17
complice,17
limpia,16
coludidos,16
mantenimiento,15
baches,14
construccion,14
oapas,12
corte,12
patrullas,12
aguas,12
