doc_id,documento,tema_id,tema,palabras_clave
0,realiza tus pagos de forma rapida segura y confiable en las mas de sucursales de finabien en naucalpan contamos con modulos donde puedes hacerlo sin complicaciones y ahorrar tiempo consulta la informacion en el codigo qr aquigobiernalaesperanza finabien,-1,No clasificado,
1,atencion inmediata en periferico se atendio una coladera destapada en direccion nortesur a la altura de la unidad cuauhtemoc del imss colocando una nueva tapa para eliminar riesgos y mejorar la seguridad vial aquigobiernalaesperanza naucalpan,2,Vialidades,"coladera, vial"
2,junta municipal de reclutamiento smn el gobierno de ciudad naucalpan en coordinacion con sedena informa a los jovenes clase y remisos sobre el tramite del servicio militar nacional consulta requisitos y documentos en la imagen aquigobiernalaesperanza,-1,No clasificado,
3,sabias que en la seleccion mexicana utilizo un uniforme verde con cuello tipo polo y franjas en los hombros incorporando un diseno mas moderno que se convirtio en uno de los mas recordados por la aficion aquigobiernalaesperanza huellasdelmundial naucalpan,-1,No clasificado,
4,curso de extensiones de pestanas en ciudad naucalpan consulta la imagen para mas informacion aquigobiernalaesperanza naucalpan imnis,-1,No clasificado,
5,llega el festival cultural del vino y el queso con musica en vivo catas gastronomia y mucho mas para toda la familia consulta la imagen para mas informacion no te lo pierdas aquigobiernalaesperanza naucalpan cultura festival,-1,No clasificado,
6,que se note y que tu partido de mierda haga algo para proteger a los animales,-1,No clasificado,
7,te extendemos la invitacion a que dejes de hacerte pendejo con el maltrato animal y hagas tu pinche trabajo inutil,-1,No clasificado,
8,pinche inutil no hiciste nada para detener al maltratador de animales,-1,No clasificado,
9,chinga a tu cerda madre pinche simio hediondo,-1,No clasificado,
10,gracias,-1,No clasificado,
11,sabran porque no hay agua en fraccionamiento boulevares desde hace dias y para cuando restablecen gracias,0,Servicios,agua
12,transforma colonia deabril tras anos de rezago se impulso la rehabilitacionintegral con alumbrado pavimentacion y recuperacion de espaciospublicos,0,Servicios,alumbrado
13,deberian de mejorar el transporte publico asi como la vialidad prohibiendo estacionarse en las avenidas,2,Vialidades,"avenidas, vialidad"
14,que pasa con la policia transito naucalpan estan levantando infracciones y quitando placas como y cuando quieren,1,Seguridad,policia
15,gracias a una denuncia ciudadana con evidencia en video la guardia municipal de naucalpan localizo y aseguro a un hombre presuntamente relacionado con maltrato a un ser sintiente aquigobiernalaesperanza naucalpan guardiamunicipal bienestaranimal,1,Seguridad,guardia
