palabra,frecuencia
corruptos,410
corrupcion,258
policia,202
seguridad,169
basura,151
corrupto,132
delincuentes,130
lopez,97
chayotero,94
rateros,88
transformacion,87
calles,77
chayote,71
agua,68
guardia,67
calle,65
amlo,62
ladrones,50
sheinbaum,42
obras,41
proteccion,40
puente,40
robo,37
obra,36
obrador,35
limpieza,32
traidores,32
barrendero,31
avenida,31
delincuencia,30
baches,30
desbordamiento,29
cartel,29
desarrollo,27
vigilancia,26
peligro,26
crimen,26
banquetas,26
inundaciones,25
corrupta,25
tirar,24
vialidades,24
delincuente,23
transito,23
residuos,22
camino,21
morenarcos,21
carretera,20
narcogobierno,20
rehabilitacion,19
proyecto,19
movimiento,19
narcomorena,19
infraestructura,18
dictadura,18
peligroso,17
construccion,17
complices,17
luz,16
ladron,16
criminal,16
contaminacion,16
limpia,15
oapas,15
vialidad,15
cuarta,15
vial,14
mentirosos,14
vendidos,14
avenidas,13
luminarias,12
limpiar,12
mantenimiento,12
complice,12
detenido,11
