palabra,frecuencia
corruptos,226
corrupcion,192
seguridad,190
policia,144
delincuentes,135
transformacion,104
basura,97
corrupto,97
mantenimiento,96
ladrones,94
calle,87
guardia,84
calles,76
lopez,73
agua,69
amlo,68
delincuencia,66
obras,64
crimen,63
fraude,50
obra,49
robo,48
sheinbaum,48
obrador,48
puente,44
narcogobierno,40
rateros,38
infraestructura,34
proyecto,31
peligro,30
morenarcos,29
luz,28
inseguridad,28
rehabilitacion,28
criminal,27
delincuente,27
ladron,26
cartel,26
inundaciones,25
transito,23
desarrollo,23
edificio,23
cuarta,23
proteccion,22
robos,22
camino,22
complices,22
construccion,21
corrupta,21
mentirosos,20
detenido,19
vigilancia,19
limpieza,17
patrullas,17
concreto,17
morenistas,17
vialidades,16
coludidos,16
avenida,15
baches,15
proyectos,15
movimiento,15
adan,15
estafa,15
oapas,14
iluminacion,14
vial,14
vialidad,14
complice,14
luminarias,13
tirar,13
patrulla,13
peligroso,13
esquina,13
aguas,13
