doc_id,documento,tema_id,tema,palabras_clave
0,"Hoy recibí, a nombre de las y los naucalpenses, el Distintivo Destino de Reuniones. Un reconocimiento que posiciona a Ciudad #Naucalpan como un municipio listo para albergar eventos, atraer inversión y generar desarrollo.",3,Obras y proyectos,desarrollo
1,"Seguimos transformando Ciudad Naucalpan con programas sociales Hoy, cada recurso se traduce en bienestar, desarrollo y futuro para nuestras comunidades. #AquiGobiernaLaEsperanza #Naucalpan #Bienestar #DIFNaucalpan",3,Obras y proyectos,desarrollo
2,"Hoy dimos un paso firme en la organización del pueblo, un paso que nace desde el corazón y la convicción de que la Transformación la construimos entre todas y todos. #Transformacion",4,Morena (+ / neutro),transformacion
3,"Con una jornada de Huellas de la Transformación, regresé a la colonia Hidalgo, donde recuperamos el Parque Hidalgo para devolverle vida, seguridad y dignidad a los espacios. #AquiGobiernaLaEsperanza #Naucalpan #HuellasDeLaTransformacion #Hidalgo",1,Seguridad,seguridad
4,"Iniciamos el programa anual de desazolve en San Antonio Zomeyucan, con el objetivo de intervenir más de 230 comunidades antes de la temporada de lluvias. #AquiGobiernaLaEsperanza #Naucalpan #OAPAS #HuellasDeLaTransformacion",0,Servicios,oapas
5,"En 7 meses, #ImpulsandoTuSalud suma 8,700 afiliaciones y más de 24 mil atenciones médicas gratuitas. Hoy en Lázaro Cárdenas acercamos servicios sin costo, sin traslados y con atención directa, a través del #DIFNaucalpan.",-1,No clasificado,
6,El Gobierno de México instalará este 7 de abril la Oficina Móvil de Vinculación del Instituto Mexiquense de la Juventud en Ciudad Naucalpan. ¡Participa e infórmate! #Naucalpan,-1,No clasificado,
7,"El Gobierno del #EdoMéx, a través de la Secretaría de Cultura y Turismo, otorgó al Alcalde de Ciudad #Naucalpan, Isaac Montoya, el Distintivo Destino de Reuniones. #AquiGobiernaLaEsperanza",-1,No clasificado,
8,Más caminos seguros y dignos para la comunidad Rehabilitamos el Camino a Las Julianas: 700 m de pavimento Seguridad y balizamiento Alumbrado renovado Más de 76 mil habitantes con mejor movilidad. #AquiGobiernaLaEsperanza #Naucalpan #Movilidad,2,Vialidades,"camino, pavimento"
9,Comunicado oficial #AquiGobiernaLaEsperanza #Naucalpan #Comunicado,-1,No clasificado,
10,"Convocatoria: Talleres de Participación y Emprendimiento Comunitario Consulta en las imágenes los talleres disponibles, requisitos y proceso de inscripción. #AquiGobiernaLaEsperanza #Naucalpan #Bienestar #Emprendimiento",-1,No clasificado,
11,"¡Clases gratuitas de inglés en Ciudad Naucalpan! Consulta días, horarios y datos de contacto en la imagen. ¡Da el siguiente paso hacia nuevas oportunidades! #AquiGobiernaLaEsperanza #Naucalpan #Juventudes #Ingles",-1,No clasificado,
12,"Seguimos transformando Ciudad Naucalpan con obras públicas Avanzamos en la rehabilitación de calles y vialidades, recuperando espacios que por años estuvieron en el abandono. #AquiGobiernaLaEsperanza #Naucalpan #ObrasPublicas",2,Vialidades,"calles, vialidades"
13,Las Huellas de la Transformación llegan a Loma Colorada. 15 de abril 13:00 hrs. Av. de las Torres #9 Seguimos trabajando en territorio para mejorar los espacios y el bienestar de las y los naucalpenses. #AquiGobiernaLaEsperanza #Naucalpan,4,Morena (+ / neutro),transformacion
