palabra,frecuencia
corrupcion,252
corruptos,234
seguridad,163
calle,111
agua,101
obras,82
robo,79
obra,77
basura,69
delincuentes,67
transformacion,66
rehabilitacion,61
corrupta,59
sheinbaum,56
corrupto,52
calles,50
desarrollo,50
infraestructura,50
proyecto,49
policia,43
guardia,42
cartel,42
rateros,41
lopez,40
fraude,38
ladrones,34
puente,34
mentirosos,31
construccion,28
amlo,28
traidores,28
proteccion,26
avenida,25
edificio,25
obrador,25
vial,23
crimen,22
transito,22
mantenimiento,22
vendidos,22
peligro,21
limpieza,20
fuga,20
criminal,19
vialidad,19
movimiento,19
delincuente,18
camino,18
oapas,17
luz,16
concreto,16
vialidades,16
cuarta,16
detenido,15
baches,15
reconstruccion,15
adan,15
corruptas,15
hidraulico,14
iluminacion,14
sucio,14
limpiar,14
delincuencia,14
inseguridad,14
aguas,14
extorsionar,14
banquetas,13
proyectos,12
hidraulica,11
potable,11
bolsas,11
peligroso,11
esquina,11
carretera,11
coludidos,11
