palabra,frecuencia
seguridad,130
transformacion,84
guardia,51
policia,44
calles,44
obra,39
corrupcion,34
calle,31
obras,30
rehabilitacion,30
limpieza,27
basura,23
agua,22
avenida,20
baches,20
camino,18
delincuentes,17
puente,16
sheinbaum,16
proyecto,15
luminarias,14
oapas,14
vialidades,14
vial,14
reconstruccion,14
detenido,13
iluminacion,12
residuos,12
infraestructura,12
corruptos,12
alumbrado,11
vialidad,11
transito,11
desarrollo,11
construccion,11
vigilancia,10
inundaciones,9
proteccion,9
delincuencia,9
circulacion,9
robo,8
inseguridad,8
postes,7
cartel,6
tirar,5
recoleccion,5
corte,5
esquina,5
banquetas,5
patrullas,4
ladrones,4
crimen,4
alcantarillado,4
reparacion,4
hoyos,4
ampliacion,4
obrador,4
lopez,4
fraude,4
corrupta,4
luz,3
luces,3
peligroso,3
delincuente,3
robos,3
peatones,3
concreto,3
pavimentar,3
pavimento,3
asfalto,3
proyectos,3
mantenimiento,3
mejoramiento,3
poste,2
hidraulica,2
