tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,ranking_contribucion,mensaje
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,15.15,-0.2014,Alta,Polaridad negativa,Alta,26.3,0.697179,0.015088,0.687948,1,Seguridad y Criminalidad - Delitos_patrimoniales: Polaridad negativa | impacto Alta | confianza Alta | contribución 26.30%.
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,7.47,-0.1441,Alta,Polaridad negativa,Alta,14.09,0.373366,0.011729,0.373421,2,Seguridad y Criminalidad - Violencia_crimen_organizado: Polaridad negativa | impacto Alta | confianza Alta | contribución 14.09%.
6,gobierno,Gobernanza y Administración Pública - Gobierno,16.28,-0.1092,Alta,Polaridad negativa,Alta,13.63,0.361197,0.02024,0.404902,3,Gobernanza y Administración Pública - Gobierno: Polaridad negativa | impacto Alta | confianza Alta | contribución 13.63%.
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,13.78,0.066,Alta,Polaridad positiva,Alta,6.76,0.179112,0.055293,0.227407,4,Seguridad y Criminalidad - Prevencion_vigilancia: Polaridad positiva | impacto Alta | confianza Alta | contribución 6.76%.
0,basura,Servicios e Infraestructura Pública - Basura,4.88,-0.0468,Alta,Polaridad negativa,Alta,6.29,0.166624,0.026204,0.232045,5,Servicios e Infraestructura Pública - Basura: Polaridad negativa | impacto Alta | confianza Alta | contribución 6.29%.
3,obras,Obra Pública e Inversión - Obras,5.04,0.0322,Alta,Polaridad positiva,Alta,6.1,0.161566,0.055303,0.21237,6,Obra Pública e Inversión - Obras: Polaridad positiva | impacto Alta | confianza Alta | contribución 6.10%.
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,2.38,-0.0197,Alta,Polaridad negativa,Media,5.35,0.141708,0.025634,0.187177,7,Seguridad y Criminalidad - Violencia_personas: Polaridad negativa | impacto Alta | confianza Media | contribución 5.35%.
4,cultura,Educación y Cultura - Cultura,1.83,0.0167,Alta,Polaridad positiva,Alta,4.95,0.131319,0.026277,0.223927,8,Educación y Cultura - Cultura: Polaridad positiva | impacto Alta | confianza Alta | contribución 4.95%.
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,2.33,0.0872,Alta,Polaridad positiva,Media,4.15,0.109898,0.058631,0.13184,9,Servicios e Infraestructura Pública - Alumbrado: Polaridad positiva | impacto Alta | confianza Media | contribución 4.15%.
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.56,-0.0928,Alta,Polaridad negativa,Baja,3.98,0.105576,-0.001022,0.13867,10,Medio Ambiente y Servicios de Agua - Drenaje: Polaridad negativa | impacto Alta | confianza Baja | contribución 3.98%.
4,educacion,Educación y Cultura - Educacion,2.82,0.0119,Alta,Polaridad positiva,Alta,3.47,0.092028,0.043899,0.230733,11,Educación y Cultura - Educacion: Polaridad positiva | impacto Alta | confianza Alta | contribución 3.47%.
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.52,-0.0245,Media,Polaridad negativa,Baja,1.76,0.046708,0.006599,0.048985,12,Medio Ambiente y Servicios de Agua - Pavimento: Polaridad negativa | impacto Media | confianza Baja | contribución 1.76%.
0,agua,Servicios e Infraestructura Pública - Agua,2.3,-0.0003,Media,Polaridad positiva,Media,1.69,0.044695,0.015809,0.141744,13,Servicios e Infraestructura Pública - Agua: Polaridad positiva | impacto Media | confianza Media | contribución 1.69%.
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,6.46,-0.0219,Media,Polaridad negativa,Baja,1.49,0.039619,0.007309,0.038154,14,Medio Ambiente y Servicios de Agua - Vialidad: Polaridad negativa | impacto Media | confianza Baja | contribución 1.49%.
