doc_id,texto,tokens,positivas,negativas,polaridad_score
52,Mesa de la Paz: Balón por la Paz Invitamos a la ciudadanía a participar en la actividad “Balón por l,19,0,0,0.0
53,Bazar Masivo de Mujeres Emprendedoras Naucalpenses Sábado 14 de marzo 10:00 a 17:00 horas Explanada ,18,0,0,0.0
54,"Taller: Elaboración de Extensiones de Cabello de Fantasía con Cristales Consulta fecha, horario y de",14,0,0,0.0
55,#Rescate de perrito lesionado Los seres sintientes son vulnerables y no pueden defenderse por sí mis,17,2,0,0.11764705882352941
56,"Taller: Manicura y Spa de Manos Consulta fecha, horario y detalles en la imagen. #AquiGobiernaLaEspe",12,0,0,0.0
57,¿Buscas dónde realizar tu servicio social o prácticas profesionales? Consulta en las imágenes los re,19,3,0,0.15789473684210525
58,"El Gobierno de #Naucalpan, impulsa estímulos fiscales para empresas propietarias de inmuebles que ac",16,0,0,0.0
59,Dimos un paso firme para fortalecer el derecho a la salud en Ciudad Naucalpan: la entrega de la Unid,18,1,0,0.05555555555555555
60,"¿Sabías qué? El balón Trionda será el protagonista en el torneo de 2026 que se celebrará en México, ",13,0,0,0.0
61,"El Gobierno de Ciudad Naucalpan, encabezado por el Presidente Municipal Isaac Montoya, llevó a cabo ",68,2,0,0.029411764705882353
62,"Taller: Spa Facial ✨🧖‍♀️ El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mujeres Nauc",23,0,0,0.0
63,Total respaldo de las y los presidentes municipales de #MorenaSí al Plan B de la Presidenta de Méxic,12,0,0,0.0
64,"Hablar del suicidio no es peligroso, es necesario🎗️ Abrir el diálogo puede salvar vidas. Escuchar si",45,0,1,-0.022222222222222223
65,"Taller: Arte con Limpiapipas 🎨✨ El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mujer",24,1,0,0.041666666666666664
66,"Pago Predial Naucalpan 2026🏠 Paga en Tesorería, receptorías, bancos o en línea. 💻 Pago en línea: 👉 h",20,0,0,0.0
67,"Te compartimos el Comunicado No. 517 en su versión de Lectura Fácil, elaborada con un lenguaje claro",19,0,0,0.0
68,"En el natalicio de Matilde Montoya, recordamos a la primera médica mexicana, quien rompió barreras e",46,3,2,0.021739130434782608
69,Huellas de la Transformación en Jardines del Molinito✨🤝🌳 • Instalación de 10 luminarias y 2 postes 💡,43,5,1,0.09302325581395349
70,Cuidar Ciudad Naucalpan es responsabilidad de todas y todos.🚯 Tirar basura en la vía pública afecta ,26,3,4,-0.038461538461538464
71,Total respaldo de las y los presidentes municipales de #MorenaSí al Plan B de la Presidenta de Méxic,12,0,0,0.0
72,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago d,42,2,2,0.0
73,Guía Ciudadana para el Pago del Impuesto Predial 2026🧾🏠 En el Gobierno de Ciudad Naucalpan trabajamo,38,1,0,0.02631578947368421
74,¿Sabías qué? ⚽🌍 En Italia 1934 uno de los carteles oficiales del torneo internacional de futbol most,24,0,0,0.0
75,"El Gobierno de Ciudad Naucalpan, encabezado por el Presidente Municipal Isaac Montoya, puso en march",50,1,0,0.02
76,#AquiGobiernaLaEsperanza #Naucalpan #Jovenes #IMJUVE,4,0,0,0.0
77,Detención de cuatro hombres por presuntos delitos contra la salud y portación de armas prohibidas🚔 D,81,5,0,0.06172839506172839
78,"En coordinación con la Fiscalía General de Justicia del Estado de México, logramos la detención de s",91,5,3,0.02197802197802198
79,"Me dio mucho gusto recibir a mi amigo Abraham Carro, Director General del Instituto Mexicano de la J",52,4,0,0.07692307692307693
80,"El Presidente Municipal, Isaac Montoya, encabezó una reunión de trabajo con autoridades auxiliares d",50,1,0,0.02
81,Encabecé una reunión con autoridades auxiliares de 14 comunidades para escuchar de manera directa la,78,5,0,0.0641025641025641
82,El Gobierno de Naucalpan continúa recuperando espacios públicos para fortalecer la convivencia y la ,105,11,2,0.08571428571428572
83,En Jardines del Molinito recuperamos un espacio que durante años permaneció en abandono y hoy vuelve,58,7,2,0.08620689655172414
84,Huellas de la Transformación en Jardines del Molinito✨🤝🌳 • Instalación de 10 luminarias y 2 postes 💡,43,5,1,0.09302325581395349
85,¡Clases gratuitas de inglés en Ciudad Naucalpan!✨ El Gobierno Municipal invita a participar en los c,25,0,0,0.0
86,"Regresé al parque de Jardines del Molinito, un espacio que durante casi 10 años estuvo en abandono, ",83,11,2,0.10843373493975904
87,"Te invitamos al Curso de Extensiones de Pestañas en modalidad escolarizado, una oportunidad para apr",42,1,0,0.023809523809523808
88,"Te invitamos al Curso de Extensiones de Cabello en modalidad escolarizado, una oportunidad para apre",42,1,0,0.023809523809523808
89,"El programa 8M en tu Comunidad llega a Rincón Verde, acercando servicios y apoyos para fortalecer la",35,2,0,0.05714285714285714
90,Continuamos trabajando por la seguridad de las y los naucalpenses.🚨 #Naucalpan #Seguridad,6,2,0,0.3333333333333333
91,"El Presidente Municipal de Ciudad Naucalpan encabezó la Mesa Itinerante de Paz en la colonia Modelo,",108,10,1,0.08333333333333333
92,Encabecé la Mesa Itinerante de Paz en la colonia Modelo y dimos inicio a la actividad “Balón por la ,84,3,1,0.023809523809523808
93,En Ciudad Naucalpan impulsamos proyectos que transforman.✨🤝 La Línea 3 del Mexicable beneficiará a m,27,1,0,0.037037037037037035
94,"Recupera Guardia Municipal pertenencias robadas por cristalazo🚨 Derivado de patrullajes preventivos,",46,2,1,0.021739130434782608
95,"Recupera Guardia Municipal pertenencias robadas por cristalazo🚨 Derivado de patrullajes preventivos,",46,2,1,0.021739130434782608
96,En Ciudad Naucalpan impulsamos proyectos que transforman.✨🤝 La Línea 3 del Mexicable beneficiará a m,27,1,0,0.037037037037037035
97,"Proximidad social que transforma vidas. 🐎 El Gobierno de Ciudad Naucalpan, a través del Grupo Montad",35,1,0,0.02857142857142857
98,"Trabajamos para que el desarrollo urbano se realice con apego a la ley, cumpliendo con sus obligacio",23,1,0,0.043478260869565216
99,"En el marco de las conmemoraciones por el Día Internacional de la Mujer, el Gobierno de Ciudad Nauca",84,3,0,0.03571428571428571
100,"Te compartimos el Comunicado No. 516 en su versión de Lectura Fácil, elaborada con un lenguaje claro",19,0,0,0.0
101,"Pago Predial Naucalpan 2026🏠 Paga en Tesorería, receptorías, bancos o en línea. 💻 Pago en línea: 👉 h",20,0,0,0.0
102,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago d,42,2,2,0.0
103,Guía Ciudadana para el Pago del Impuesto Predial 2026🧾🏠 En el Gobierno de Ciudad Naucalpan trabajamo,38,1,0,0.02631578947368421
104,"¿Sabías qué? ⚽🌍 El primer logotipo de un torneo internacional de fútbol apareció en Uruguay en 1930,",35,1,0,0.02857142857142857
105,Rueda de prensa 🎤 ▪️ Ciudad Naucalpan es el municipio con mayor reducción en robo de vehículos asegu,93,3,1,0.021505376344086023
106,Compartir los avances que estamos impulsando para el bienestar de las y los naucalpenses. Seguimos t,14,0,0,0.0
107,"El Gobierno de Ciudad Naucalpan, a través de la Dirección de Servicios Públicos, realizó trabajos de",37,0,0,0.0
108,Mesa de la Paz: Balón por la Paz ⚽ Invitamos a la ciudadanía a participar en la actividad “Balón por,36,2,0,0.05555555555555555
109,Rueda de prensa 🎤 ▪️ Ciudad Naucalpan es el municipio con mayor reducción en robo de vehículos asegu,93,3,1,0.021505376344086023
110,Rescate de perrito lesionado🐾🚨 Personal veterinario brindó atención a un perrito que presentaba lesi,45,2,0,0.044444444444444446
111,"Bazar Masivo de Mujeres Emprendedoras Naucalpenses 💜✨ En el marco del Día Internacional de la Mujer,",37,0,0,0.0
112,Taller: Elaboración de Extensiones de Cabello de Fantasía con Cristales ✨💇‍♀️ El Gobierno de Ciudad ,26,0,0,0.0
113,"Te compartimos el Comunicado No. 515 en su versión de Lectura Fácil, elaborada con un lenguaje claro",19,0,0,0.0
114,"Taller: Manicura y Spa de Manos 💅✨ El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mu",24,0,0,0.0
115,"Acompañamos el llamado de la Presidenta de México, la Dra. Claudia Sheinbaum Pardo, para fortalecer ",24,1,0,0.041666666666666664
116,¿Buscas dónde realizar tu servicio social o prácticas profesionales?🎓 El Gobierno de Ciudad Naucalpa,31,3,0,0.0967741935483871
117,"El Gobierno de Naucalpan, a través de la Tesorería Municipal y la Dirección de Desarrollo y Fomento ",31,1,0,0.03225806451612903
118,Dimos un paso firme para fortalecer el derecho a la salud en Ciudad Naucalpan: la entrega de la Unid,83,4,1,0.03614457831325301
119,¿Sabías qué? ⚽🌍 El balón Trionda será el protagonista en el torneo de 2026 que se celebrará en Méxic,26,0,0,0.0
120,Comunicado📌 #AquiGobiernaLaEsperanza #Naucalpan #Seguridad,4,1,0,0.25
121,"12 de marzo📅 | Día Mundial del Riñón La salud renal es silenciosa, ¡no dejes de escucharla! Cuidar t",27,1,0,0.037037037037037035
122,"Hoy, 12 de marzo, conmemoramos el Día Mundial del Riñón. Cuidar nuestros riñones es cuidar nuestra s",27,1,0,0.037037037037037035
123,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago d,42,2,2,0.0
124,Guía Ciudadana para el Pago del Impuesto Predial 2026🧾🏠 En el Gobierno de Ciudad Naucalpan trabajamo,38,1,0,0.02631578947368421
125,"Para acercar los servicios de salud a la comunidad, llevamos el programa “Impulsando tu Salud en tu ",38,1,0,0.02631578947368421
126,"Para acercar los servicios de salud a la comunidad, el Gobierno de Ciudad Naucalpan, encabezado por ",86,2,0,0.023255813953488372
127,"Para acercar los servicios de salud a la comunidad, llevamos el programa “Impulsando tu Salud en tu ",87,2,0,0.022988505747126436
128,"El Gobierno de Ciudad Naucalpan, encabezado por el Presidente Municipal Isaac Montoya, llevó a cabo ",93,3,0,0.03225806451612903
129,Seguimos recorriendo las comunidades: hoy Huellas de la Transformación llegó a Jardines del Molinito,20,2,0,0.1
130,Mañanera del Pueblo.✅ #AquiGobiernaLaEsperanza #Naucalpan #CuartaTransformacion,5,0,0,0.0
131,Aviso importante | Servicio Militar Nacional 📢 Si aún no has entregado tu cartilla del SMN para su t,24,2,0,0.08333333333333333
132,"En el marco del Día Internacional de la Mujer, el Gobierno de Naucalpan, encabezado por el President",61,3,1,0.03278688524590164
133,"Taller: Spa Facial ✨🧖‍♀️ El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mujeres Nauc",23,0,0,0.0
134,Se logró la detención de un hombre en la colonia Alfredo del Mazo Vélez. 🚨 Seguimos trabajando de ma,36,3,0,0.08333333333333333
135,"Dale a tu vida una esperanza. 🎗 Por un Naucalpan que escucha, cuida y acompaña. A veces, la tristeza",58,0,0,0.0
136,Informar no provoca: protege 🎗️ Hablar del suicidio con información clara y sin prejuicios puede sal,51,0,0,0.0
137,"El Gobierno de Ciudad Naucalpan, invita al curso gratuito “Más allá del Plan de Negocios”, un espaci",64,1,0,0.015625
138,La Policía Ética reafirma su compromiso en el combate a la corrupción y en la construcción de una co,19,1,1,0.0
139,"Taller: Arte con Limpiapipas 🎨✨ El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mujer",24,1,0,0.041666666666666664
140,"Durante una década ha trabajado con compromiso para brindar atención y acompañamiento a mujeres, niñ",17,0,0,0.0
141,"Te compartimos el Comunicado No. 514 en su versión de Lectura Fácil, elaborada con un lenguaje claro",19,0,0,0.0
142,Ciudad Naucalpan protege a las personas adultas mayores 👵👴 Una sociedad se mide por cómo trata a sus,21,0,0,0.0
143,"Ciudad Naucalpan sigue dando resultados contundentes en materia de seguridad. 🚨 En una sola semana, ",51,2,0,0.0392156862745098
144,"Ciudad Naucalpan sigue dando resultados contundentes en materia de seguridad. 🚨 En una sola semana, ",40,2,0,0.05
145,Detectar a tiempo las señales puede salvar una vida.🎗️ El Suicidiómetro nos ayuda a identificar ries,29,0,0,0.0
146,Registro Civil de Ciudad Naucalpan📄 ✒️ El Gobierno de Ciudad Naucalpan pone a disposición de la ciud,81,0,0,0.0
147,Conoce los Módulos Hospitalarios y sus servicios de Ciudad Naucalpan🏥🩺 El Gobierno de Ciudad Naucalp,82,2,0,0.024390243902439025
148,"Atención, Ciudad Naucalpan 🚗🌫️ Se activa la Fase 1 de Contingencia Ambiental, por lo que este miérco",40,1,0,0.025
149,¿Sabías qué? ⚽🌍 El Al Rihla fue el balón utilizado en el torneo internacional de fútbol celebrado en,38,0,0,0.0
150,"Por instrucción del Presidente Municipal Isaac Montoya, personal de Protección Civil de Ciudad Nauca",47,4,2,0.0425531914893617
151,Conoce el Departamento de Prevención y Mitigación de Riesgos de Protección Civil. 🚨 Desde el Gobiern,25,5,0,0.2
152,Medidas de prevención en escuelas🏫 Hanja da ntheti ya bätsi ne ya xat’i ha ra ngu ntheti Para proteg,111,5,1,0.036036036036036036
153,"A través de la Estrategia de Construcción de Territorios de Paz, impulsada por el Gobierno de México",63,2,2,0.0
154,Taller: Elaboración de Extensiones de Cabello de Fantasía con Cristales ✨💇‍♀️ El Gobierno de Ciudad ,26,0,0,0.0
155,"Llevamos a cabo un Simulacro de Sesión de Cabildo con estudiantes de la FES Acatlán, realizado en el",96,10,0,0.10416666666666667
156,¡Cuidemos la salud de nuestras niñas y niños en las escuelas!🏫 👉Para prevenir el sarampión y otras e,41,5,0,0.12195121951219512
157,"Taller: Elaboración de Desodorante Orgánico 🌿✨ El Gobierno de Ciudad Naucalpan, a través del Institu",24,0,0,0.0
158,"¡No convirtamos nuestros espacios en tiraderos!🚯 Tirar basura en calles, barrancas, ríos o terrenos ",31,1,4,-0.0967741935483871
159,"Ciudad Naucalpan fue sede del encuentro del Consejo Consultivo de Niñas, Niños y Adolescentes del Es",37,1,0,0.02702702702702703
160,¡Clases gratuitas de inglés en Ciudad Naucalpan!✨ El Gobierno Municipal invita a participar en los c,25,0,0,0.0
161,"En coordinación con el Gobierno del Estado de México, la Secretaría de Bienestar, la Secretaría de S",99,1,0,0.010101010101010102
162,"A través del IMCUFIDEN, realizamos la entrega de playeras a los equipos que participarán en el torne",70,3,0,0.04285714285714286
163,Ciudad Naucalpan protege a las personas adultas mayores 👵👴 La violencia no siempre grita; a veces se,24,0,2,-0.08333333333333333
164,"Derivado de labores de vigilancia y coordinación interinstitucional, la Guardia Municipal de Ciudad ",47,3,2,0.02127659574468085
