tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,ranking_contribucion,mensaje
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,14.37,-0.0887,Alta,Polaridad negativa,Alta,15.73,0.436177,0.023377,0.4732,1,Seguridad y Criminalidad - Violencia_crimen_organizado: Polaridad negativa | impacto Alta | confianza Alta | contribución 15.73%.
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,10.93,-0.0813,Alta,Polaridad negativa,Alta,13.62,0.377854,0.023473,0.482307,2,Seguridad y Criminalidad - Violencia_personas: Polaridad negativa | impacto Alta | confianza Alta | contribución 13.62%.
0,basura,Servicios e Infraestructura Pública - Basura,8.66,-0.0616,Alta,Polaridad negativa,Alta,10.04,0.278518,0.027745,0.411824,3,Servicios e Infraestructura Pública - Basura: Polaridad negativa | impacto Alta | confianza Alta | contribución 10.04%.
3,obras,Obra Pública e Inversión - Obras,7.23,-0.0375,Alta,Polaridad negativa,Alta,9.37,0.259912,0.040005,0.343358,4,Obra Pública e Inversión - Obras: Polaridad negativa | impacto Alta | confianza Alta | contribución 9.37%.
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,6.35,0.0263,Alta,Polaridad positiva,Alta,9.35,0.259219,0.069071,0.337206,5,Seguridad y Criminalidad - Prevencion_vigilancia: Polaridad positiva | impacto Alta | confianza Alta | contribución 9.35%.
4,educacion,Educación y Cultura - Educacion,4.59,0.027,Alta,Polaridad positiva,Alta,7.7,0.213451,0.065324,0.365712,6,Educación y Cultura - Educacion: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.70%.
6,gobierno,Gobernanza y Administración Pública - Gobierno,13.8,-0.0351,Alta,Polaridad negativa,Alta,7.65,0.212125,0.031663,0.426912,7,Gobernanza y Administración Pública - Gobierno: Polaridad negativa | impacto Alta | confianza Alta | contribución 7.65%.
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,4.17,0.0754,Alta,Polaridad positiva,Alta,7.0,0.194157,0.09157,0.23549,8,Servicios e Infraestructura Pública - Alumbrado: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.00%.
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,3.08,-0.042,Alta,Polaridad negativa,Media,5.61,0.155644,0.016562,0.172636,9,Seguridad y Criminalidad - Delitos_patrimoniales: Polaridad negativa | impacto Alta | confianza Media | contribución 5.61%.
4,cultura,Educación y Cultura - Cultura,2.88,-0.0243,Alta,Polaridad negativa,Alta,3.78,0.104977,0.023606,0.310287,10,Educación y Cultura - Cultura: Polaridad negativa | impacto Alta | confianza Alta | contribución 3.78%.
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,5.73,-0.0256,Alta,Polaridad negativa,Media,3.66,0.101414,0.014446,0.10065,11,Medio Ambiente y Servicios de Agua - Vialidad: Polaridad negativa | impacto Alta | confianza Media | contribución 3.66%.
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.38,-0.0774,Alta,Polaridad negativa,Baja,2.59,0.071792,0.000801,0.126926,12,Medio Ambiente y Servicios de Agua - Drenaje: Polaridad negativa | impacto Alta | confianza Baja | contribución 2.59%.
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.59,-0.0363,Alta,Polaridad negativa,Baja,2.19,0.060691,0.007251,0.073762,13,Medio Ambiente y Servicios de Agua - Pavimento: Polaridad negativa | impacto Alta | confianza Baja | contribución 2.19%.
0,agua,Servicios e Infraestructura Pública - Agua,2.6,-0.0027,Media,Polaridad negativa,Media,1.72,0.047681,0.024261,0.149936,14,Servicios e Infraestructura Pública - Agua: Polaridad negativa | impacto Media | confianza Media | contribución 1.72%.
