tema_id,tema,nivel_alerta,direccion,impacto_en_polaridad,confianza,contribucion_pct,num_subtemas,motivo
0,Servicios e Infraestructura Pública,Oportunidad,Polaridad positiva,Alta,Alta,18.76,3,Dirección Polaridad positiva; impacto Alta; contribución 18.76% (3 subtemas).
1,Seguridad y Criminalidad,Alta,Polaridad negativa,Alta,Alta,44.31,4,Dirección Polaridad negativa; impacto Alta; contribución 44.31% (4 subtemas).
2,Medio Ambiente y Servicios de Agua,Alta,Polaridad negativa,Alta,Baja,8.43,3,Dirección Polaridad negativa; impacto Alta; contribución 8.43% (3 subtemas).
3,Obra Pública e Inversión,Alta,Polaridad negativa,Alta,Alta,9.37,1,Dirección Polaridad negativa; impacto Alta; contribución 9.37% (1 subtemas).
4,Educación y Cultura,Oportunidad,Polaridad positiva,Alta,Alta,11.48,2,Dirección Polaridad positiva; impacto Alta; contribución 11.48% (2 subtemas).
6,Gobernanza y Administración Pública,Alta,Polaridad negativa,Alta,Alta,7.65,1,Dirección Polaridad negativa; impacto Alta; contribución 7.65% (1 subtemas).
