palabra,frecuencia
basura,155
seguridad,138
cartel,103
agua,91
calles,77
calle,60
corruptos,60
policia,51
corrupcion,40
fuga,38
tirar,35
lopez,35
proteccion,34
delincuentes,34
amlo,33
drenaje,31
sheinbaum,29
peligroso,28
inundaciones,26
peligro,26
transformacion,22
guardia,21
obras,20
robo,19
desarrollo,19
obrador,19
puente,18
infraestructura,18
vigilancia,17
mantenimiento,17
carretera,16
delincuencia,13
criminal,13
rehabilitacion,13
crimen,12
narcogobierno,12
avenida,11
camino,11
corrupto,11
aviadores,11
desfalco,11
limpieza,10
traidores,10
luminarias,9
luz,9
corte,9
fugas,8
delincuente,8
secuestro,8
contaminacion,8
baches,8
aguas,8
vial,8
renovacion,8
vendidos,8
rateros,8
oapas,7
limpia,7
patrulla,7
inseguridad,7
circulacion,7
obra,7
mentirosos,7
chayotero,7
suministro,6
sucio,6
bolsas,6
ladrones,6
inundado,6
cuarta,6
fraude,6
potable,5
contenedores,5
limpiar,5
bolsa,5
