palabra,frecuencia
policia,204
seguridad,153
corruptos,138
delincuentes,107
corrupcion,76
basura,38
calle,35
agua,33
luz,32
guardia,30
robo,30
ladrones,28
rateros,27
proteccion,26
transito,26
calles,25
delincuencia,23
desarrollo,22
transformacion,22
puente,20
rehabilitacion,20
tiradero,18
peligro,18
corrupto,16
vigilancia,14
delincuente,14
sheinbaum,14
luces,11
camino,11
obras,11
inseguridad,10
baches,10
mentirosos,10
luminarias,9
obra,9
vial,8
avenida,8
infraestructura,8
lopez,8
cartel,8
bolsa,7
vialidades,7
circulacion,7
mantenimiento,7
ampliacion,7
narcogobierno,7
fuga,6
aguas,6
carretera,6
construccion,6
proyecto,6
traidores,6
corrupta,6
limpieza,5
tirar,5
patrullas,5
criminal,5
peligroso,5
crimen,5
drenaje,5
morenistas,5
corruptas,5
extorsionar,5
oapas,4
hoyos,4
esquina,4
banquetas,4
obrador,4
movimiento,4
hidraulica,3
oscuro,3
inundacion,3
corte,3
patrulla,3
asalto,3
