tema_id,tema,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,num_subtemas
0,Servicios e Infraestructura Pública,15.69,0.02,Alta,Polaridad positiva,Alta,17.13,0.14946,0.061492,0.315733,3
1,Seguridad y Criminalidad,24.06,-0.0386,Alta,Polaridad negativa,Alta,39.93,0.261313,0.038717,0.300874,4
2,Medio Ambiente y Servicios de Agua,6.55,-0.0457,Alta,Polaridad negativa,Baja,9.59,0.083657,0.008939,0.083365,3
3,Obra Pública e Inversión,8.4,0.0102,Alta,Polaridad positiva,Alta,8.89,0.232797,0.072206,0.276418,1
4,Educación y Cultura,9.69,-0.0002,Alta,Polaridad positiva,Alta,14.0,0.183252,0.045851,0.538838,2
6,Gobernanza y Administración Pública,16.51,-0.0345,Alta,Polaridad negativa,Alta,10.45,0.2736,0.03131,0.596358,1
