doc_id,texto,tokens,positivas,negativas,polaridad_score
61,seguimos transformando nuestras vialidades invitamos a las y los vecinos a acompanarnos al inicio de,28,2,0,0.07142857142857142
62,mundial social de las cuatro casas en naucalpan el futbol se convierte en encuentro cultura y comuni,61,2,0,0.03278688524590164
63,buscas donde realizar tu servicio social o practicas profesionales el gobierno de ciudad naucalpan a,31,3,0,0.0967741935483871
64,el gobierno de ciudad naucalpan realizo la segunda sesion de la ruta fotografica de identidadnaucalp,41,1,0,0.024390243902439025
65,feliz dia del padre a todos los papas de ciudad naucalpan aquigobiernalaesperanza diadelpadre naucal,8,0,0,0.0
66,feliz dia del padre te amo papa,4,0,0,0.0
67,hoy reconocemos a quienes protegen a nuestras familias dentro y fuera del servicio a todos los papas,18,2,0,0.1111111111111111
68,ciudad naucalpan es uno de los municipios del estado de mexico que cuenta con un agrupamiento k nues,17,3,0,0.17647058823529413
69,me reuni con nuestros amigos edgar olvera la diputada federal lily carbajal y con el gran equipo que,20,0,0,0.0
70,si naciste en es momento de tramitar tu cartilla militar fecha limite de recepcion de documentos de ,53,0,0,0.0
71,la llegada de la universidad nacional rosario castellanos unrc a ciudad naucalpan es resultado de la,63,5,0,0.07936507936507936
72,celebra el dia del padre en el gol fest naucalli el difnaucalpan te invita a disfrutar del partido e,28,0,0,0.0
73,te compartimos el comunicado no en su version de lectura facil esta version esta elaborada con un le,16,0,0,0.0
74,la seguridad de ciudad naucalpan se fortalece con personal altamente capacitado y especializado la u,27,3,0,0.1111111111111111
75,la guardia municipal de naucalpan mantiene recorridos permanentes de seguridad y prevencion en disti,45,5,1,0.08888888888888889
76,es momento de que tu talento brille si tienes entre y anos y vives en naucalpan participa en el conc,39,0,0,0.0
77,hay heroes que patrullan nuestras calles cuidan nuestras colonias y velan por la tranquilidad de mil,12,1,0,0.08333333333333333
78,dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al fir,36,4,0,0.1111111111111111
79,el gobierno municipal de ciudad naucalpan pone a disposicion de la ciudadania el programa de testame,32,2,0,0.0625
80,en el deportivoboulevares el presidente municipal isaac montoya encabezo la mesadepaz y la estrategi,45,0,0,0.0
81,la paz se construye todos los dias no solo con mas seguridad sino tambien con mas oportunidades mejo,80,3,1,0.025
82,el gobierno de ciudad naucalpan invita a la ciudadania a participar en el proceso de seleccion y des,41,0,0,0.0
83,septuagesima sesion ordinaria de cabildo resolutiva octogesima sexta ayuntamiento de naucalpan de ju,12,0,0,0.0
84,en el foro felipe villanueva del parquenaucalli el presidente municipal isaac montoya junto a elizab,115,10,1,0.0782608695652174
85,seguimos acercando oportunidades para que ninguna nina o nino de ciudad naucalpan se quede atras por,83,7,0,0.08433734939759036
86,seguimos acercando oportunidades para que ninguna nina o nino de ciudad naucalpan se quede atras por,126,8,0,0.06349206349206349
87,el gobierno de ciudad naucalpan a traves del area de serviciospublicos realizo trabajos de reparacio,33,2,0,0.06060606060606061
88,naucalpan es hogar de una gran riqueza natural de las especies de vertebrados registradas en nuestro,21,0,0,0.0
89,te interesa aprender un oficio creativo y fortalecer tu autonomia economica el imnis te invita a par,33,0,0,0.0
90,el c naucalpan trabaja las horas del dia para atender emergencias coordinar servicios de auxilio y f,24,2,1,0.041666666666666664
91,plazarevolucion se convirtio en un espacio de encuentro para vivir la pasion mundialista familias na,44,0,0,0.0
92,desde el parquenaucalli disfrutamos la victoria de nuestra seleccionmexicana acompanados de las fami,22,0,0,0.0
93,a traves de la caravanadelempleo impulsandoelempleo el gobierno de ciudad naucalpan encabezado por e,59,0,0,0.0
94,fortalece tu emprendimiento con mas herramientas y conocimientos el gobierno de ciudad naucalpan a t,24,0,1,-0.041666666666666664
95,como parte de las acciones coordinadas para combatir el robo de vehiculos la guardia municipal de ci,53,4,3,0.018867924528301886
96,juntos hacemos de ciudad naucalpan un lugar seguro para todas y todos aquigobiernalaesperanza guardi,6,0,0,0.0
97,gracias a la confianza de las y los contribuyentes ciudad naucalpan alcanzo una recaudacion historic,96,6,2,0.041666666666666664
98,miles de naucalpenses gritamos gooooool de mexico vamos ganando vamos mexico naucalpan,8,0,0,0.0
99,la transformacion de ciudad naucalpan se fortalece con la participacion responsable de las y los con,96,10,2,0.08333333333333333
100,impulsamos el empleo en ciudad naucalpan si eres empresaria o empresario sumate al sistema municipal,33,1,0,0.030303030303030304
101,como un beneficio adicional para las personas que acuden por sus tarjetas de las becasritacetina aho,111,6,5,0.009009009009009009
102,asisti a una entrega mas de las becasritacetina en el forofelipevillanueva un programa impulsado por,68,8,4,0.058823529411764705
103,asisti a una entrega mas de las becasritacetina en el forofelipevillanueva un programa impulsado por,78,8,4,0.05128205128205128
104,en ciudad naucalpan nuestro palacio municipal se viste con la fiebre del mundialsocial se vive en ca,27,0,0,0.0
105,escuchar sin juzgar puede salvar una vida el suicidio no esta relacionado con la valentia o la cobar,35,0,0,0.0
106,en ciudad naucalpan nuestro palacio municipal se viste con los colores y la pasion del mundialsocial,49,0,0,0.0
107,en ciudad naucalpan no estas sola la policia de genero de la guardia municipal brinda orientacion at,23,1,1,0.0
108,la guardia municipal de ciudad naucalpan convoca a participar en el proceso de reclutamiento selecci,32,0,0,0.0
109,felicidades a mi querida madre juana marquez que me dio vida y me sigue dando vida a ti te debo el e,19,0,0,0.0
110,tienes entre y anos y te apasiona contar historias participa en juventud en corto historia identidad,39,0,0,0.0
111,hoy juega mexico vivamos juntos la emocion de esta gran fiesta deportiva internacional y apoyemos a ,17,0,0,0.0
112,mundial social las cuatro casas vibra con la pasion mundialista el mundial social las cuatro casas l,64,3,0,0.046875
113,mundialsociallas casas con gran emocion en la plazarevolucion en naucalpan centro se tuvieron enlace,50,0,0,0.0
114,felicito a mario martin delgado carrillo secretario de educacion publica del gobierno de mexico por ,27,5,0,0.18518518518518517
115,esta noche el mundialsociallascuatrocasas se llena de emocion con el encuentro entre colombia y uzbe,23,1,0,0.043478260869565216
116,en redes sociales circula un video en el que se menciona que un elemento de ciudad naucalpan comete ,27,0,1,-0.037037037037037035
117,sabias que en ciudad naucalpan por primera vez se destinaron casi mil millones de pesos en obra publ,12,1,0,0.08333333333333333
118,hoy dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al,35,4,0,0.11428571428571428
119,el presidente municipal de naucalpan isaac montoya marquez y la alcaldesa de azcapotzalco nancy nune,91,11,1,0.10989010989010989
120,hoy dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al,70,6,0,0.08571428571428572
121,sonrisas emocion porras y familias reunidas asi se vive el primer partido del mundialsociallascuatro,25,0,0,0.0
122,sonrisas emocion porras y familias reunidas asi se vivio el primer partido del mundialsociallascuatr,25,0,0,0.0
123,esta manana en compania de nuestra companera y amiga la alcaldesa de azcapotzalco nancy nunez firmam,38,3,0,0.07894736842105263
124,con el proposito de acercar servicios gratuitos que contribuyan al bienestar de las familias naucalp,97,2,0,0.020618556701030927
125,te esperamos en plaza revolucion disfruta la transmision del encuentro entre portugal y republica de,14,0,0,0.0
126,con el objetivo de fortalecer entornos laborales sanos productivos y respetuosos el gobierno de ciud,93,3,3,0.0
127,registro civil de ciudad naucalpan el gobierno de ciudad naucalpan pone a disposicion de la ciudadan,79,0,0,0.0
128,no te dejes sorprender los coyotes o falsos gestores actuan sin sustento legal y representan un ries,19,2,1,0.05263157894736842
