tema_id,tema,nivel_alerta,direccion,impacto_en_polaridad,confianza,contribucion_pct,num_subtemas,motivo
0,Servicios e Infraestructura Pública,Oportunidad,Polaridad positiva,Alta,Alta,18.83,3,Dirección Polaridad positiva; impacto Alta; contribución 18.83% (3 subtemas).
1,Seguridad y Criminalidad,Alta,Polaridad negativa,Alta,Alta,30.64,4,Dirección Polaridad negativa; impacto Alta; contribución 30.64% (4 subtemas).
2,Medio Ambiente y Servicios de Agua,Alta,Polaridad negativa,Alta,Baja,15.53,3,Dirección Polaridad negativa; impacto Alta; contribución 15.53% (3 subtemas).
3,Obra Pública e Inversión,Oportunidad,Polaridad positiva,Alta,Alta,12.46,1,Dirección Polaridad positiva; impacto Alta; contribución 12.46% (1 subtemas).
4,Educación y Cultura,Alta,Polaridad negativa,Alta,Alta,15.14,2,Dirección Polaridad negativa; impacto Alta; contribución 15.14% (2 subtemas).
6,Gobernanza y Administración Pública,Alta,Polaridad negativa,Alta,Alta,7.39,1,Dirección Polaridad negativa; impacto Alta; contribución 7.39% (1 subtemas).
