palabra,frecuencia
policia,1960
delincuentes,532
corruptos,396
seguridad,245
delincuente,201
corrupcion,188
calle,157
agua,138
rateros,136
basura,126
guardia,116
calles,113
patrulla,89
transformacion,84
peligro,77
ladrones,74
rehabilitacion,74
corrupto,71
robo,67
lopez,66
delincuencia,64
complice,50
obras,48
traidores,47
crimen,46
banqueta,42
camino,41
amlo,40
proyecto,39
corrupta,38
sheinbaum,37
transito,36
obrador,34
detenido,32
cuarta,32
banquetas,31
proteccion,28
luz,27
criminal,27
desarrollo,27
cartel,27
limpieza,26
inseguridad,26
patrullas,24
ladron,23
avenida,23
peligroso,22
construccion,21
infraestructura,20
obra,19
chayotero,19
vigilancia,18
vendidos,18
extorsionar,18
complices,18
oapas,16
puente,16
proyectos,16
narcogobierno,16
luminarias,15
fuga,14
robos,14
asalto,14
carretera,14
fraude,14
aguas,13
reparacion,13
mantenimiento,13
movimiento,13
concreto,12
asfalto,12
contaminacion,12
edificio,12
ampliacion,12
chayote,12
