doc_id,documento,tema_id,tema,palabras_clave
0,"Si les gustó la maqueta, ahora los invitamos a conocer las reales… #Naucalpan #BTS #México",-1,No clasificado,
1,La Zona Arqueológica El Conde es uno de los vestigios prehispánicos más importantes de Ciudad Naucalpan y forma parte de la riqueza histórica de nuestro municipio. #AquiGobiernaLaEsperanza #Naucalpan #HistoriaDeNaucalpan,-1,No clasificado,
2,Seguimos transformando espacios olvidados en caminos de esperanza y seguridad #AquiGobiernaLaEsperanza #Naucalpan #LosRemedios,1,Seguridad,seguridad
3,En Los Arcos de Los Remedios realizamos una jornada de Atención a las Causas con cine al aire libre y Mesa de Paz Itinerante para fortalecer la convivencia y recuperar espacios públicos. #AquiGobiernaLaEsperanza #Naucalpan #MesaDePaz #LosArcos,-1,No clasificado,
4,"En Los Arcos de Los Remedios realizamos una jornada de Atención a las Causas con cine al aire libre, Mesa de Paz Itinerante y servicios gratuitos de salud. #AquiGobiernaLaEsperanza #Naucalpan #MesaDePaz #LosArcos",-1,No clasificado,
5,"Felicito a Paulo de Jesús Lara Z., Quinto Regidor de Ciudad Naucalpan, por su cumpleaños. Que este nuevo año de vida esté lleno de salud, fortaleza y éxito, para que sigamos trabajando juntas y juntos por la transformación. #Naucalpan",4,Morena (+ / neutro),transformacion
6,"Con el propósito de fortalecer la cultura de la Protección Civil y reforzar las capacidades de reacción ante una posible emergencia o desastre, el Gobierno de Ciudad #Naucalpan participó en el 1er Simulacro Nacional 2026. #AquiGobiernaLaEsperanza #ProtecciónCivil #Bomberos",1,Seguridad,proteccion
7,Mañanera del Pueblo. #AquiGobiernaLaEsperanza #Naucalpan #CuartaTransformacion,-1,No clasificado,
8,"5 de mayo | Aniversario de la Batalla de Puebla Hoy recordamos con orgullo el 5 de mayo de 1862, cuando México defendió su soberanía con valentía. #AquiGobiernaLaEsperanza #Naucalpan #5DeMayo",-1,No clasificado,
9,"Conoce a Esther Rojas Trinidad, orgullo naucalpense; tejedora en telar de cintura que preserva nuestras tradiciones con talento y dedicación. Da clic en el video y descubre su historia. #AquiGobiernaLaEsperanza #Naucalpan #Artesana #OrgulloLocal",-1,No clasificado,
