tema_id,tema,nivel_alerta,direccion,impacto_en_polaridad,confianza,contribucion_pct,num_subtemas,motivo
0,Servicios e Infraestructura Pública,Oportunidad,Polaridad positiva,Alta,Alta,19.0,3,Dirección Polaridad positiva; impacto Alta; contribución 19.00% (3 subtemas).
1,Seguridad y Criminalidad,Alta,Polaridad negativa,Alta,Alta,45.01,4,Dirección Polaridad negativa; impacto Alta; contribución 45.01% (4 subtemas).
2,Medio Ambiente y Servicios de Agua,Alta,Polaridad negativa,Alta,Media,8.91,3,Dirección Polaridad negativa; impacto Alta; contribución 8.91% (3 subtemas).
3,Obra Pública e Inversión,Oportunidad,Polaridad positiva,Alta,Alta,8.95,1,Dirección Polaridad positiva; impacto Alta; contribución 8.95% (1 subtemas).
4,Educación y Cultura,Alta,Polaridad negativa,Alta,Alta,11.01,2,Dirección Polaridad negativa; impacto Alta; contribución 11.01% (2 subtemas).
6,Gobernanza y Administración Pública,Alta,Polaridad negativa,Alta,Alta,7.12,1,Dirección Polaridad negativa; impacto Alta; contribución 7.12% (1 subtemas).
