tema_id,subtema,nombre_completo,coef_ridge,coef_logit,correlacion,docs_con_feature,intensidad_media,contribucion_pct
0,agua,Servicios e Infraestructura Pública - Agua,0.03449706284386824,0.04142361711105827,0.17679998509948872,2643,0.0198363147250583,1.2081930725205465
0,basura,Servicios e Infraestructura Pública - Basura,0.2486865943688816,0.049316388036571596,0.42217093184511384,6395,-0.03554124692259689,8.709768188239135
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,0.15728372506256974,0.08824445174507708,0.21127474730479362,3042,0.07487733847560157,5.508559030108854
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,0.44310523096505283,0.018292994163495228,0.4553988252582322,4635,-0.10095491510464707,15.518905852147114
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,0.3631095492501,0.026105590020907836,0.39806108484683606,6497,-0.08734844179895863,12.717211432045378
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,0.1894559737137986,0.028835309705960238,0.2491724021076383,2656,-0.04550315673687403,6.635329970688576
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,0.2270630393197735,0.07475802925914188,0.2769066924610756,7416,0.048712238949693426,7.95244488996759
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.10682258913773639,0.0018711228580926432,0.1361443120555502,466,-0.07441161978637564,3.7412550966744744
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.10688421953392803,0.010521613379079014,0.11283356065520733,847,-0.038977456550950015,3.743413582400416
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,0.09062585723065719,0.011670602024373741,0.09662098845434139,4509,-0.044543639318583565,3.1739958092338947
3,obras,Obra Pública e Inversión - Obras,0.25505451506441795,0.07504544106341018,0.3132306096913773,6096,0.025263032548125383,8.932792325265769
4,educacion,Educación y Cultura - Educacion,0.1765310094329758,0.062207552736285865,0.38042847890995735,3535,0.011889656568863798,6.182658032287847
4,cultura,Educación y Cultura - Cultura,0.16323932303316044,0.036865644396658376,0.3685186617357885,3078,-0.008410410209557212,5.717142359169405
6,gobierno,Gobernanza y Administración Pública - Gobierno,0.2929020815603386,0.03195335054494919,0.4636520712031645,11511,-0.04334572230609222,10.258330324227902
