tema_id,subtema,nombre_completo,coef_ridge,coef_logit,correlacion,docs_con_feature,intensidad_media,contribucion_pct
0,agua,Servicios e Infraestructura Pública - Agua,0.04340963138290053,0.04294833811205166,0.19586803780569376,182,0.027079768057518074,1.523625188477296
0,basura,Servicios e Infraestructura Pública - Basura,0.24523926964980722,0.04913895337813204,0.4795350904009074,467,-0.03731672649412935,8.60759966253497
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,0.14522596554142778,0.08571765206639542,0.2352174778535632,219,0.06927042669425447,5.097254504838196
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,0.2984827334230722,0.02992740865825315,0.3379069868710804,392,-0.06923426458664823,10.476380390276418
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,0.3324366470161075,0.030121466572499853,0.3625494936587509,467,-0.08321045272794393,11.668121401422354
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,0.16468427377551767,0.02339628616997775,0.21120889527333994,126,-0.04588872875758122,5.7802174235763815
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,0.20531777092642425,0.0706132597505656,0.2543151956494286,577,0.03734411792741374,7.2064036818505945
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.07057217981872305,0.0019222863401687283,0.07442628467593203,29,-0.0979199050627622,2.476997554508396
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.20309993474815205,0.0077279732085898615,0.2120937300298697,50,-0.07109923717676934,7.1285603333244225
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,0.10977277918525068,0.022279230991558943,0.12103325245731517,454,-0.038704591125471755,3.852890845824749
3,obras,Obra Pública e Inversión - Obras,0.28744182113540107,0.08203248751446837,0.3359858857979833,462,0.03008910232508398,10.088857816843772
4,educacion,Educación y Cultura - Educacion,0.2996941681640505,0.1015454318251261,0.48470290207974914,692,0.042092302615682635,10.518900274153573
4,cultura,Educación y Cultura - Cultura,0.14853490644879086,0.04839150795353943,0.4175764767170948,247,0.0005767043697554272,5.213394300386591
6,gobierno,Gobernanza y Administración Pública - Gobierno,0.295189633297749,0.03253867123433761,0.48113001921624976,1221,-0.05997814929533356,10.3607965868835
