tema_id,tema,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,num_subtemas
0,Servicios e Infraestructura Pública,14.62,0.0162,Alta,Polaridad positiva,Alta,14.78,0.136335,0.06216,0.291041,3
1,Seguridad y Criminalidad,29.95,-0.033,Alta,Polaridad negativa,Alta,41.38,0.286286,0.042928,0.332912,4
2,Medio Ambiente y Servicios de Agua,7.25,-0.0516,Alta,Polaridad negativa,Media,10.26,0.094626,0.011513,0.108285,3
3,Obra Pública e Inversión,8.03,0.0326,Alta,Polaridad positiva,Alta,10.46,0.289506,0.069613,0.335511,1
4,Educación y Cultura,9.44,0.0075,Alta,Polaridad positiva,Alta,14.87,0.205755,0.056384,0.438036,2
6,Gobernanza y Administración Pública,13.67,-0.0369,Alta,Polaridad negativa,Alta,8.25,0.228288,0.035459,0.485483,1
