tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion
0,agua,Servicios e Infraestructura Pública - Agua,3.8,0.0157,Media,Polaridad positiva,Media,1.73,0.047929,0.043087,0.173715
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,3.36,0.0671,Alta,Polaridad positiva,Alta,4.54,0.125666,0.092703,0.214418
0,basura,Servicios e Infraestructura Pública - Basura,7.45,-0.0341,Alta,Polaridad negativa,Alta,8.51,0.235409,0.05069,0.48499
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,6.63,-0.0505,Alta,Polaridad negativa,Alta,10.55,0.291848,0.027395,0.324357
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,8.98,0.038,Alta,Polaridad positiva,Alta,7.68,0.212626,0.071622,0.253072
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,10.84,-0.0838,Alta,Polaridad negativa,Alta,15.59,0.431372,0.033309,0.462692
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,3.5,-0.0356,Alta,Polaridad negativa,Alta,7.56,0.209297,0.039386,0.291527
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.69,-0.0652,Alta,Polaridad negativa,Baja,3.01,0.083363,0.003185,0.125643
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,1.17,-0.0383,Alta,Polaridad negativa,Media,3.24,0.089562,0.014573,0.082616
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,5.38,-0.0513,Alta,Polaridad negativa,Media,4.01,0.110953,0.01678,0.116596
3,obras,Obra Pública e Inversión - Obras,8.03,0.0326,Alta,Polaridad positiva,Alta,10.46,0.289506,0.069613,0.335511
4,cultura,Educación y Cultura - Cultura,5.0,-0.007,Alta,Polaridad negativa,Alta,6.64,0.183704,0.045225,0.431482
4,educacion,Educación y Cultura - Educacion,4.43,0.0219,Alta,Polaridad positiva,Alta,8.23,0.227806,0.067544,0.44459
6,gobierno,Gobernanza y Administración Pública - Gobierno,13.67,-0.0369,Alta,Polaridad negativa,Alta,8.25,0.228288,0.035459,0.485483
