palabra,frecuencia
seguridad,168
obra,165
calle,151
guardia,146
sheinbaum,145
corrupcion,144
transformacion,126
agua,110
amlo,95
policia,94
obras,89
lopez,84
corruptos,78
calles,76
obrador,63
robo,57
proyecto,55
infraestructura,53
edificio,53
puente,52
basura,50
rehabilitacion,48
fuga,44
camino,42
peligro,41
construccion,41
delincuentes,38
mantenimiento,37
cartel,35
desarrollo,34
proteccion,33
detenido,29
complices,29
avenida,28
movimiento,28
complice,28
transito,27
crimen,26
traidores,26
luz,24
asfalto,24
potable,23
delincuente,23
corrupta,23
criminal,22
fraude,22
oapas,21
delincuencia,21
4t,21
rateros,21
corrupto,20
tubo,19
vigilancia,19
vial,19
limpieza,18
ladrones,18
hidraulica,16
inseguridad,16
luminarias,15
peligroso,15
concreto,15
semaforo,15
corte,14
banqueta,14
esquina,14
cuarta,14
residuos,13
bolsa,13
aguas,13
proyectos,13
hidraulico,12
circulacion,12
ampliacion,12
vendidos,12
robos,11
