palabra,frecuencia
policia,320
corrupcion,212
corruptos,162
seguridad,144
obras,138
agua,133
basura,101
calle,101
edificio,95
delincuentes,92
obra,89
calles,77
transformacion,76
guardia,61
transito,55
proyecto,53
corrupto,51
puente,50
concreto,49
rateros,48
construccion,45
avenida,44
robo,43
delincuente,42
cartel,42
delincuencia,38
lopez,36
camino,33
mantenimiento,33
hidraulico,32
baches,32
rehabilitacion,32
infraestructura,30
inseguridad,27
ladrones,26
vial,26
vialidades,26
desarrollo,24
complices,24
patrulla,23
vialidad,23
sheinbaum,23
amlo,23
alumbrado,22
luz,22
proteccion,21
crimen,21
4t,21
extorsionar,20
corrupta,19
luminarias,18
banquetas,18
cuarta,17
iluminar,16
morenarcos,16
peligro,15
repavimentacion,15
aguas,15
limpieza,14
avenidas,14
proyectos,14
fraude,14
patrullas,13
circulacion,13
coludidos,13
criminal,12
contaminacion,12
complice,12
hidraulica,11
vigilancia,11
secuestro,11
narcogobierno,11
iluminacion,10
sucio,10
fuga,10
