palabra,frecuencia
policia,324
corrupcion,250
corruptos,210
delincuentes,170
agua,152
seguridad,150
obras,101
guardia,92
crimen,88
transformacion,80
calle,77
calles,74
basura,68
obra,63
lopez,63
delincuente,62
transito,57
carretera,52
mantenimiento,52
delincuencia,48
puente,48
sheinbaum,48
amlo,48
rateros,48
cartel,48
corrupto,48
robo,44
construccion,44
obrador,41
complice,40
proyecto,36
ampliacion,34
ladrones,30
inseguridad,29
edificio,29
infraestructura,27
corrupta,27
luminarias,26
narcogobierno,26
proteccion,25
desarrollo,24
traidores,23
complices,23
vial,22
extorsionar,22
luz,21
limpieza,20
patrulla,20
camino,20
detenido,19
concreto,19
coludidos,19
criminal,18
alumbrado,17
avenida,17
aguas,17
morenarcos,17
peligro,16
patrullas,16
alarma,16
rehabilitacion,16
cuarta,16
vialidad,15
complicidad,15
vigilancia,13
iluminar,12
fuga,12
alcantarilla,12
reconstruccion,11
narcomorena,11
moche,11
oapas,10
avenidas,10
proyectos,10
fraude,10
