tema_id,subtema,nombre_completo,coef_ridge,coef_logit,correlacion,docs_con_feature,intensidad_media,contribucion_pct
0,agua,Servicios e Infraestructura Pública - Agua,0.12444732333530874,0.02754028045631914,0.212478730297888,258,-0.030247411547761498,4.188908928280945
0,basura,Servicios e Infraestructura Pública - Basura,0.3273660107614241,0.04820574462412336,0.4503545976386952,597,-0.04249333262818272,11.019171554211905
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,0.1594390190507761,0.07011340200452953,0.19501035675169495,186,0.06852439543639086,5.366732787161997
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,0.31477078813550335,0.02919655021935902,0.3397362692779203,491,-0.07505121391972104,10.595215143600731
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,0.4014380679749532,0.029509454268175375,0.43932980300140834,570,-0.08354928368457286,13.512444157286483
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,0.16789373017592765,0.024218886658679467,0.2223139304789155,181,-0.044600360587227536,5.6513191805773
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,0.2321493291372939,0.09168730274722175,0.2864933804383142,480,0.05932788317763284,7.814168850361555
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.11322930720479588,0.006666276426470214,0.17979357431271661,74,-0.0691943671316323,3.8113094213787955
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.10094377843344428,0.01464348726668737,0.08817791138620826,79,-0.03828221426332896,3.397777335836817
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,0.18084141037269683,0.0046819223853802475,0.18068942009780295,360,-0.05032787891443852,6.087139347079704
3,obras,Obra Pública e Inversión - Obras,0.3085295582775977,0.07535164920285939,0.3563420990451276,446,0.03618317320568744,10.385134743520187
4,educacion,Educación y Cultura - Educacion,0.1638075269497659,0.05436652008423963,0.3913671525193336,255,-0.002706012036961291,5.513777185152294
4,cultura,Educación y Cultura - Cultura,0.1479882126888957,0.02999193023125752,0.3707353566970982,255,-0.022913655357037675,4.981297538578488
6,gobierno,Gobernanza y Administración Pública - Gobierno,0.22803273201074561,0.04163143667379942,0.4351611231338814,987,-0.03783654498747718,7.675603793312705
