tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion
0,agua,Servicios e Infraestructura Pública - Agua,3.66,0.0248,Baja,Polaridad positiva,Media,0.62,0.01779,0.04513,0.170049
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,5.23,0.0738,Alta,Polaridad positiva,Alta,7.85,0.226674,0.096181,0.268135
0,basura,Servicios e Infraestructura Pública - Basura,12.04,-0.0242,Alta,Polaridad negativa,Alta,11.25,0.324828,0.065641,0.524917
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,4.31,-0.0547,Alta,Polaridad negativa,Alta,9.32,0.269028,0.016957,0.271952
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,7.58,0.0674,Alta,Polaridad positiva,Alta,10.41,0.300532,0.092363,0.320341
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,5.07,-0.0802,Alta,Polaridad negativa,Alta,9.21,0.265837,0.018341,0.275771
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,3.56,-0.0538,Alta,Polaridad negativa,Alta,7.85,0.226508,0.023706,0.265282
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.56,-0.0688,Alta,Polaridad negativa,Baja,3.26,0.09423,0.002305,0.132161
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,1.2,-0.0452,Alta,Polaridad negativa,Baja,4.02,0.115972,0.009809,0.146766
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,7.09,-0.0558,Alta,Polaridad negativa,Media,3.3,0.095335,0.011239,0.121253
3,obras,Obra Pública e Inversión - Obras,7.92,0.0188,Alta,Polaridad positiva,Alta,9.05,0.26112,0.06682,0.312072
4,cultura,Educación y Cultura - Cultura,4.89,-0.0085,Alta,Polaridad negativa,Alta,6.9,0.199084,0.040291,0.442037
4,educacion,Educación y Cultura - Educacion,6.27,0.0136,Alta,Polaridad positiva,Alta,7.36,0.212409,0.069038,0.439968
6,gobierno,Gobernanza y Administración Pública - Gobierno,12.76,-0.0232,Alta,Polaridad negativa,Alta,9.59,0.276914,0.034349,0.478582
