tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion
0,agua,Servicios e Infraestructura Pública - Agua,3.45,0.0248,Baja,Polaridad positiva,Baja,0.12,-0.003421,0.040277,0.15375
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,4.67,0.0697,Alta,Polaridad positiva,Alta,6.59,0.187433,0.098394,0.238352
0,basura,Servicios e Infraestructura Pública - Basura,6.64,-0.0417,Alta,Polaridad negativa,Alta,7.79,0.22147,0.038467,0.439649
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,5.04,-0.0704,Alta,Polaridad negativa,Alta,8.31,0.236419,0.028129,0.269091
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,13.91,0.0702,Alta,Polaridad positiva,Alta,11.25,0.320052,0.117848,0.307799
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,6.93,-0.0761,Alta,Polaridad negativa,Alta,10.17,0.289166,0.037312,0.310954
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,3.39,-0.0555,Alta,Polaridad negativa,Alta,8.0,0.227626,0.03066,0.344896
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.64,-0.0546,Alta,Polaridad negativa,Baja,3.64,0.103417,0.00854,0.112312
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.81,-0.0723,Alta,Polaridad negativa,Media,3.75,0.106645,0.014232,0.097924
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,5.01,-0.0328,Alta,Polaridad negativa,Media,3.01,0.085518,0.014268,0.072592
3,obras,Obra Pública e Inversión - Obras,6.2,0.0232,Alta,Polaridad positiva,Alta,10.82,0.307843,0.069429,0.413061
4,cultura,Educación y Cultura - Cultura,4.29,-0.0004,Alta,Polaridad positiva,Alta,6.28,0.178614,0.042029,0.414515
4,educacion,Educación y Cultura - Educacion,5.62,0.0355,Alta,Polaridad positiva,Alta,9.01,0.25619,0.086173,0.46025
6,gobierno,Gobernanza y Administración Pública - Gobierno,13.36,-0.0004,Alta,Polaridad positiva,Alta,11.26,0.320237,0.054195,0.493366
