tema_id,tema,nivel_alerta,direccion,impacto_en_polaridad,confianza,contribucion_pct,num_subtemas,motivo
0,Servicios e Infraestructura Pública,Oportunidad,Polaridad positiva,Alta,Alta,14.5,3,Dirección Polaridad positiva; impacto Alta; contribución 14.50% (3 subtemas).
1,Seguridad y Criminalidad,Alta,Polaridad negativa,Alta,Alta,37.74,4,Dirección Polaridad negativa; impacto Alta; contribución 37.74% (4 subtemas).
2,Medio Ambiente y Servicios de Agua,Alta,Polaridad negativa,Alta,Media,10.39,3,Dirección Polaridad negativa; impacto Alta; contribución 10.39% (3 subtemas).
3,Obra Pública e Inversión,Oportunidad,Polaridad positiva,Alta,Alta,10.82,1,Dirección Polaridad positiva; impacto Alta; contribución 10.82% (1 subtemas).
4,Educación y Cultura,Oportunidad,Polaridad positiva,Alta,Alta,15.29,2,Dirección Polaridad positiva; impacto Alta; contribución 15.29% (2 subtemas).
6,Gobernanza y Administración Pública,Oportunidad,Polaridad positiva,Alta,Alta,11.26,1,Dirección Polaridad positiva; impacto Alta; contribución 11.26% (1 subtemas).
